group,date,sgtf,voc,sgtfv
North East and Yorkshire,2020-11-28,3,3,1
North East and Yorkshire,2020-11-29,2,0,0
North East and Yorkshire,2020-11-30,11,3,0.272727272727273
North East and Yorkshire,2020-12-01,2,0,0
North East and Yorkshire,2020-12-02,2,1,0.5
North East and Yorkshire,2020-12-03,1,0,0
North East and Yorkshire,2020-12-04,1,0,0
North East and Yorkshire,2020-12-05,4,4,1
North East and Yorkshire,2020-12-06,10,9,0.9
North East and Yorkshire,2020-12-07,5,5,1
North East and Yorkshire,2020-12-08,2,1,0.5
North East and Yorkshire,2020-12-09,0,0,0.416666666666667
North East and Yorkshire,2020-12-10,3,1,0.333333333333333
North East and Yorkshire,2020-12-11,71,63,0.887323943661972
North East and Yorkshire,2020-12-12,28,24,0.857142857142857
North East and Yorkshire,2020-12-13,10,10,1
North East and Yorkshire,2020-12-14,28,25,0.892857142857143
North East and Yorkshire,2020-12-15,6,6,1
North East and Yorkshire,2020-12-16,8,8,1
North East and Yorkshire,2020-12-17,8,8,1
North East and Yorkshire,2020-12-18,19,17,0.894736842105263
North East and Yorkshire,2020-12-19,2,2,1
North East and Yorkshire,2020-12-20,67,63,0.940298507462687
North East and Yorkshire,2020-12-21,13,12,0.923076923076923
North East and Yorkshire,2020-12-22,25,25,1
North East and Yorkshire,2020-12-23,28,28,1
North East and Yorkshire,2020-12-24,22,22,1
North East and Yorkshire,2020-12-25,0,0,1
North East and Yorkshire,2020-12-26,40,40,1
North East and Yorkshire,2020-12-27,39,37,0.948717948717949
North East and Yorkshire,2020-12-28,6,6,1
North East and Yorkshire,2020-12-29,161,161,1
North East and Yorkshire,2020-12-30,52,52,1
North East and Yorkshire,2020-12-31,22,22,1
North East and Yorkshire,2021-01-01,3,3,1
North East and Yorkshire,2021-01-02,12,12,1
North East and Yorkshire,2021-01-03,22,22,1
North East and Yorkshire,2021-01-04,13,13,1
North East and Yorkshire,2021-01-05,6,5,1
North East and Yorkshire,2021-01-06,,,1
North East and Yorkshire,2021-01-07,,,1
North East and Yorkshire,2021-01-08,,,1
North East and Yorkshire,2021-01-09,,,1
North East and Yorkshire,2021-01-10,,,1
North East and Yorkshire,2021-01-11,,,1
North East and Yorkshire,2021-01-12,,,1
North East and Yorkshire,2021-01-13,,,1
North East and Yorkshire,2021-01-14,,,1
North East and Yorkshire,2021-01-15,,,1
North East and Yorkshire,2021-01-16,,,1
North East and Yorkshire,2021-01-17,,,1
North East and Yorkshire,2021-01-18,,,1
North East and Yorkshire,2021-01-19,,,1
North East and Yorkshire,2021-01-20,,,1
North East and Yorkshire,2021-01-21,,,1
North East and Yorkshire,2021-01-22,,,1
North East and Yorkshire,2021-01-23,,,1
North East and Yorkshire,2021-01-24,,,1
North East and Yorkshire,2021-01-25,,,1
North East and Yorkshire,2021-01-26,,,1
North East and Yorkshire,2021-01-27,,,1
North East and Yorkshire,2021-01-28,,,1
North East and Yorkshire,2021-01-29,,,1
North East and Yorkshire,2021-01-30,,,1
North East and Yorkshire,2021-01-31,,,1
North East and Yorkshire,2021-02-01,,,1
North East and Yorkshire,2021-02-02,,,1
North East and Yorkshire,2021-02-03,,,1
North East and Yorkshire,2021-02-04,,,1
North East and Yorkshire,2021-02-05,,,1
North East and Yorkshire,2021-02-06,,,1
North East and Yorkshire,2021-02-07,,,1
North East and Yorkshire,2021-02-08,,,1
North East and Yorkshire,2021-02-09,,,1
North East and Yorkshire,2021-02-10,,,1
North East and Yorkshire,2021-02-11,,,1
North East and Yorkshire,2021-02-12,,,1
North East and Yorkshire,2021-02-13,,,1
North East and Yorkshire,2021-02-14,,,1
North East and Yorkshire,2021-02-15,,,1
North East and Yorkshire,2021-02-16,,,1
North East and Yorkshire,2021-02-17,,,1
North East and Yorkshire,2021-02-18,,,1
North East and Yorkshire,2021-02-19,,,1
North East and Yorkshire,2021-02-20,,,1
North East and Yorkshire,2021-02-21,,,1
North East and Yorkshire,2021-02-22,,,1
North East and Yorkshire,2021-02-23,,,1
North East and Yorkshire,2021-02-24,,,1
North East and Yorkshire,2021-02-25,,,1
North East and Yorkshire,2021-02-26,,,1
North East and Yorkshire,2021-02-27,,,1
North East and Yorkshire,2021-02-28,,,1
North West,2020-09-01,0,0,0
North West,2020-09-02,0,0,0
North West,2020-09-03,0,0,0
North West,2020-09-04,1,0,0
North West,2020-09-05,0,0,0
